,MRSP,Drivetrain,Passenger Capacity,Passenger Doors,Transmission,"Fuel Tank Capacity, Approx (gal)",Engine Type,Brake Type,Brake ABS System,Spare Wheel Material,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,City Mileage,Highway Mileage,Engine Fuel Type,Engine Displacement,Gears,torque,Horsepower,Year,Make,Main Make
1,40600.0,0,5,4,0,17.1,98,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,22.0,28.0,125,2.0,0,280.0,272.0,2019,2032,0
2,45500.0,0,5,4,0,17.1,98,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,22.0,28.0,125,2.0,0,280.0,272.0,2019,2032,0
3,43600.0,0,5,4,0,17.1,98,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,22.0,27.0,125,2.0,0,280.0,272.0,2019,2032,0
4,37400.0,0,5,4,0,17.1,98,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,22.0,28.0,125,2.0,0,280.0,272.0,2019,2032,0
5,42600.0,2,5,4,0,17.1,98,1,0,5,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,21.0,27.0,125,2.0,0,280.0,272.0,2019,2032,0
6,47500.0,2,5,4,0,17.1,98,1,0,5,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,21.0,27.0,125,2.0,0,280.0,272.0,2019,2032,0
7,45600.0,2,5,4,0,17.1,98,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,21.0,26.0,125,2.0,0,280.0,272.0,2019,2032,0
8,37500.0,2,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,252.0,279.0,2018,1712,0
9,41000.0,0,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,252.0,279.0,2018,1712,0
10,39700.0,0,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,252.0,279.0,2018,1712,0
11,42700.0,0,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,252.0,279.0,2018,1712,0
12,37300.0,0,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,252.0,279.0,2018,1712,0
13,36000.0,0,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,252.0,279.0,2018,1712,0
14,42500.0,2,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,252.0,279.0,2018,1712,0
15,41200.0,2,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,252.0,279.0,2018,1712,0
16,44200.0,2,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,252.0,279.0,2018,1712,0
17,38800.0,2,5,4,0,16.0,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,252.0,279.0,2018,1712,0
18,36870.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,28.0,77,3.5,6,252.0,279.0,2016,1466,0
19,40370.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,29.0,77,3.5,6,252.0,279.0,2016,1466,0
20,39070.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,29.0,77,3.5,6,252.0,279.0,2016,1466,0
21,42020.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,29.0,77,3.5,6,252.0,279.0,2016,1466,0
22,36670.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,29.0,77,3.5,6,252.0,279.0,2016,1466,0
23,35370.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,29.0,77,3.5,6,252.0,279.0,2016,1466,0
24,41870.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,28.0,77,3.5,6,252.0,279.0,2016,1466,0
25,40570.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,28.0,77,3.5,6,252.0,279.0,2016,1466,0
26,43520.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,19.0,28.0,77,3.5,6,252.0,279.0,2016,1466,0
27,38170.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,28.0,77,3.5,6,252.0,279.0,2016,1466,0
28,36495.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2015,1235,0
29,38795.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2015,1235,0
30,35095.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2015,1235,0
31,40195.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2015,1235,0
32,35920.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2014,1039,0
33,38220.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2014,1039,0
34,34520.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2014,1039,0
35,39620.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2014,1039,0
36,35720.0,2,5,4,1,16.0,28,0,0,4,1,1,62,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,43,3.5,6,251.0,273.0,2013,848,0
